ward,zone,zone_name,area_km2,centre_lat,centre_lng
1,1,PAMMAL,0.525,12.986243,80.126381
2,1,PAMMAL,0.790,12.983673,80.133081
3,1,PAMMAL,0.775,12.981226,80.123927
4,1,PAMMAL,0.698,12.976235,80.125232
5,1,PAMMAL,1.579,12.968512,80.122503
6,1,PAMMAL,0.655,12.974315,80.132986
7,1,PAMMAL,0.556,12.978480,80.141433
8,1,PAMMAL,0.556,12.974494,80.140034
9,2,PALLAVARAM,0.369,12.971341,80.144208
10,1,PAMMAL,0.586,12.965785,80.142961
11,1,PAMMAL,0.691,12.967375,80.136018
12,1,PAMMAL,0.976,12.960248,80.134565
13,2,PALLAVARAM,0.469,12.966100,80.149729
14,2,PALLAVARAM,0.459,12.961341,80.149591
15,2,PALLAVARAM,0.720,12.966086,80.155558
16,2,PALLAVARAM,0.723,12.968138,80.161282
17,2,PALLAVARAM,1.409,12.963902,80.173817
18,2,PALLAVARAM,0.505,12.960636,80.183631
19,2,PALLAVARAM,0.726,12.958153,80.187887
20,2,PALLAVARAM,1.297,12.953916,80.181635
21,2,PALLAVARAM,2.258,12.953657,80.169660
22,3,SEMBAKKAM,1.497,12.945480,80.164699
23,3,SEMBAKKAM,0.640,12.946579,80.158231
24,2,PALLAVARAM,1.230,12.954368,80.152482
25,3,SEMBAKKAM,0.548,12.947366,80.150722
26,2,PALLAVARAM,0.517,12.951846,80.144066
27,2,PALLAVARAM,0.631,12.957342,80.142561
28,2,PALLAVARAM,0.684,12.948861,80.136006
29,1,PAMMAL,0.432,12.953422,80.133376
30,1,PAMMAL,0.730,12.950244,80.125917
31,1,PAMMAL,4.595,12.957098,80.117160
32,4,PERUNGALATHUR,2.523,12.943313,80.110621
33,4,PERUNGALATHUR,1.951,12.938806,80.125931
34,3,SEMBAKKAM,1.196,12.936774,80.137363
35,3,SEMBAKKAM,0.550,12.944515,80.139204
36,3,SEMBAKKAM,0.342,12.943901,80.144996
37,3,SEMBAKKAM,0.511,12.938591,80.146458
38,3,SEMBAKKAM,0.490,12.940428,80.152523
39,3,SEMBAKKAM,1.153,12.931154,80.155348
40,3,SEMBAKKAM,2.076,12.925510,80.163485
41,3,SEMBAKKAM,1.113,12.917172,80.159885
42,3,SEMBAKKAM,0.841,12.921766,80.153271
43,3,SEMBAKKAM,0.759,12.932218,80.144285
44,3,SEMBAKKAM,0.544,12.929222,80.141679
45,5,EAST TAMBARAM,0.648,12.923075,80.142427
46,5,EAST TAMBARAM,0.595,12.925489,80.135675
47,5,EAST TAMBARAM,0.376,12.931140,80.131170
48,5,EAST TAMBARAM,1.000,12.928459,80.126966
49,4,PERUNGALATHUR,1.025,12.927513,80.115560
50,4,PERUNGALATHUR,0.465,12.932963,80.117674
51,4,PERUNGALATHUR,0.908,12.932190,80.110062
52,4,PERUNGALATHUR,1.566,12.934618,80.103132
53,4,PERUNGALATHUR,0.893,12.920992,80.099459
54,4,PERUNGALATHUR,1.049,12.928807,80.096190
55,4,PERUNGALATHUR,2.973,12.928692,80.087827
56,4,PERUNGALATHUR,1.444,12.918353,80.085548
57,4,PERUNGALATHUR,1.144,12.905317,80.085125
58,4,PERUNGALATHUR,0.826,12.904518,80.092848
59,4,PERUNGALATHUR,0.961,12.912670,80.096907
60,4,PERUNGALATHUR,0.748,12.918711,80.105287
61,4,PERUNGALATHUR,1.664,12.903940,80.099775
62,5,EAST TAMBARAM,1.002,12.912434,80.107174
63,5,EAST TAMBARAM,2.890,12.914303,80.117811
64,5,EAST TAMBARAM,1.720,12.913631,80.130187
65,5,EAST TAMBARAM,1.638,12.913301,80.140284
66,5,EAST TAMBARAM,1.294,12.918640,80.148724
67,5,EAST TAMBARAM,0.933,12.906347,80.162183
68,5,EAST TAMBARAM,0.856,12.904633,80.144227
69,5,EAST TAMBARAM,2.240,12.895629,80.147858
70,5,EAST TAMBARAM,4.328,12.896468,80.163790
